team_id,team_name,team_short_name,unavailable,event_id,fixture_id,fixture_difficulty,is_home,kickoff_time,started,Attack_Strength,team_score,Form,Numerical_Form,Win_percentage,Strength,Defence_Strength,Home_Form,Home_Numerical_Form,Home_Win_percentage,Home_Strength,Home_Defence_Strength,Home_Attack_Strength,Away_Form,Away_Numerical_Form,Away_Win_percentage,Away_Strength,Away_Defence_Strength,Away_Attack_Strength
13,Man City,MCI,False,1,1.0,2.0,False,2023-08-11 19:00:00+00:00,True,0.8087942697970554,3.0,W,0.5284974093264249,100.0,0.889300602130616,0.884675607597522,,,,,,,W,0.5393406593406593,100.0,0.8480521281020381,0.847591347027813,0.7377950951180381
6,Burnley,BUR,False,1,1.0,5.0,True,2023-08-11 19:00:00+00:00,True,0.2984480700358138,0.0,L,0.47150259067357514,0.0,0.17542843909217232,0.1839244786348061,L,0.43826915442635966,0.0,0.13644115974985788,0.14716370501333492,0.2213348545350827,,,,,,
16,Nott'm Forest,NFO,False,1,2.0,4.0,False,2023-08-12 12:00:00+00:00,True,0.2954635893354557,1.0,L,0.46632124352331605,0.0,0.17369152385363595,0.1821090612022602,,,,,,,L,0.476043956043956,0.0,0.16262304173020936,0.17222323213961097,0.2647261058904424
1,Arsenal,ARS,False,1,2.0,2.0,True,2023-08-12 12:00:00+00:00,True,0.8058097890966972,2.0,W,0.5440414507772021,100.0,0.8875636868920797,0.8833140445231125,W,0.5216355696705042,100.0,0.8357021034678794,0.8398309909801922,0.7062179121505989,,,,,,
5,Brighton,BHA,False,1,4.0,2.0,True,2023-08-12 14:00:00+00:00,True,0.8326701153999204,4.0,W,0.5492227979274611,100.0,0.8962482630847615,0.8851294619556584,W,0.5275903136165144,100.0,0.8442296759522455,0.841628959276018,0.7318881916714204,,,,,,
3,Bournemouth,BOU,False,1,3.0,2.0,True,2023-08-12 14:00:00+00:00,True,0.2924791086350976,1.0,D,0.5025906735751295,0.0,0.17542843909217232,0.18800916785803437,D,0.4739976181024216,0.0,0.13644115974985788,0.1512091336789428,0.21563034797490016,,,,,,
19,West Ham,WHU,False,1,3.0,2.0,False,2023-08-12 14:00:00+00:00,True,0.2924791086350976,1.0,D,0.5025906735751295,0.0,0.17542843909217232,0.18800916785803437,,,,,,,D,0.5129670329670329,0.0,0.16428670456120895,0.17789492819487362,0.2619757047902819
8,Crystal Palace,CRY,False,1,7.0,2.0,False,2023-08-12 14:00:00+00:00,True,0.8058097890966972,1.0,W,0.5647668393782384,100.0,0.8945113478462251,0.8973835296253433,,,,,,,W,0.5762637362637363,100.0,0.8530431165950368,0.8598073077622249,0.7350446940178776
9,Everton,EVE,False,1,5.0,2.0,True,2023-08-12 14:00:00+00:00,True,0.2417429367290092,0.0,L,0.43523316062176165,0.0,0.14937471051412693,0.16440874123493773,L,0.3965859468042874,0.0,0.11085844229675951,0.12783554583320847,0.16714204221334852,,,,,,
10,Fulham,FUL,False,1,5.0,2.0,False,2023-08-12 14:00:00+00:00,True,0.8117787504974135,1.0,W,0.5751295336787565,100.0,0.8979851783232978,0.901014364490435,,,,,,,W,0.5868131868131867,100.0,0.8563704422570361,0.8632975822577712,0.7405454962181985
17,Sheffield Utd,SHU,False,1,7.0,2.0,True,2023-08-12 14:00:00+00:00,True,0.23577397532829295,0.0,L,0.42487046632124353,0.0,0.1459008800370542,0.16077790636984593,L,0.38467645891226676,0.0,0.10744741330301306,0.12423960924155703,0.161437535653166,,,,,,
12,Luton,LUT,False,1,4.0,3.0,False,2023-08-12 14:00:00+00:00,True,0.2566653402307999,1.0,L,0.41968911917098445,0.0,0.14416396479851784,0.1453468581932058,,,,,,,L,0.42857142857142855,0.0,0.13434077360321642,0.13688420287220504,0.22897089158835665
2,Aston Villa,AVL,False,1,6.0,4.0,False,2023-08-12 16:30:00+00:00,True,0.2656187823318743,1.0,L,0.4145077720207254,0.0,0.1459008800370542,0.1435314407606599,,,,,,,L,0.42329670329670327,0.0,0.136004436434216,0.1351390656244319,0.23722209488883797
15,Newcastle,NEW,False,1,6.0,3.0,True,2023-08-12 16:30:00+00:00,True,0.8834062873060088,5.0,W,0.5958549222797928,100.0,0.9223019916628068,0.9082760342206185,W,0.5811830091306074,100.0,0.8698123934053439,0.8645530550477958,0.7803764974329721,,,,,,
4,Brentford,BRE,False,1,8.0,3.0,True,2023-08-13 13:00:00+00:00,True,0.31635495423796267,2.0,D,0.5025906735751295,0.0,0.18237610004631777,0.18800916785803437,D,0.4739976181024216,0.0,0.14326321773735076,0.1512091336789428,0.2384483742156303,,,,,,
18,Spurs,TOT,False,1,8.0,3.0,False,2023-08-13 13:00:00+00:00,True,0.31635495423796267,2.0,D,0.5025906735751295,0.0,0.18237610004631777,0.18800916785803437,,,,,,,D,0.5129670329670329,0.0,0.17094135588520729,0.17789492819487362,0.28397891359156546
11,Liverpool,LIV,False,1,9.0,3.0,False,2023-08-13 15:30:00+00:00,True,0.3044170314365301,1.0,D,0.5025906735751295,0.0,0.18237610004631777,0.19481698323008148,,,,,,,D,0.5129670329670329,0.0,0.17094135588520729,0.18443919287402288,0.27297730919092367
7,Chelsea,CHE,False,1,9.0,4.0,True,2023-08-13 15:30:00+00:00,True,0.31635495423796267,1.0,D,0.5025906735751295,0.0,0.1893237610004632,0.2016247986021286,D,0.4739976181024216,0.0,0.15008527572484365,0.16469389589763567,0.2384483742156303,,,,,,
