code,team_id,team_name,team_short_name,unavailable,pulse_id,event_id,fixture_id,fixture_difficulty,opponent_team,opponent_score,team_score,Game_played,is_home
43,13,Man City,MCI,False,11,4,39.0,2.0,10.0,1.0,5.0,True,True
1,14,Man Utd,MUN,False,12,4,31.0,4.0,1.0,3.0,1.0,True,False
4,15,Newcastle,NEW,False,23,4,33.0,3.0,5.0,3.0,1.0,True,False
17,16,Nott'm Forest,NFO,False,15,4,35.0,3.0,7.0,0.0,1.0,True,False
49,17,Sheffield Utd,SHU,False,18,4,40.0,2.0,9.0,2.0,2.0,True,True
6,18,Spurs,TOT,False,21,4,34.0,2.0,6.0,2.0,5.0,True,False
21,19,West Ham,WHU,False,25,4,38.0,2.0,12.0,1.0,2.0,True,False
39,20,Wolves,WOL,False,38,4,36.0,2.0,8.0,3.0,2.0,True,False
3,1,Arsenal,ARS,False,1,5,43.0,2.0,9.0,0.0,1.0,True,False
7,2,Aston Villa,AVL,False,2,5,41.0,2.0,8.0,1.0,3.0,True,True
91,3,Bournemouth,BOU,False,127,5,42.0,3.0,7.0,0.0,0.0,True,True
94,4,Brentford,BRE,False,130,5,46.0,4.0,15.0,1.0,0.0,True,False
36,5,Brighton,BHA,False,131,5,45.0,4.0,14.0,1.0,3.0,True,False
90,6,Burnley,BUR,False,43,5,47.0,2.0,16.0,1.0,1.0,True,False
8,7,Chelsea,CHE,False,4,5,42.0,2.0,3.0,0.0,0.0,True,False
31,8,Crystal Palace,CRY,False,6,5,41.0,3.0,2.0,3.0,1.0,True,False
11,9,Everton,EVE,False,7,5,43.0,4.0,1.0,1.0,0.0,True,True
54,10,Fulham,FUL,False,34,5,44.0,2.0,12.0,0.0,1.0,True,True
14,11,Liverpool,LIV,False,10,5,50.0,2.0,20.0,1.0,3.0,True,False
102,12,Luton,LUT,False,163,5,44.0,2.0,10.0,1.0,0.0,True,False
43,13,Man City,MCI,False,11,5,49.0,3.0,19.0,1.0,3.0,True,False
1,14,Man Utd,MUN,False,12,5,45.0,3.0,5.0,3.0,1.0,True,True
4,15,Newcastle,NEW,False,23,5,46.0,3.0,4.0,0.0,1.0,True,True
17,16,Nott'm Forest,NFO,False,15,5,47.0,2.0,6.0,1.0,1.0,True,True
49,17,Sheffield Utd,SHU,False,18,5,48.0,3.0,18.0,2.0,1.0,True,False
6,18,Spurs,TOT,False,21,5,48.0,2.0,17.0,1.0,2.0,True,True
21,19,West Ham,WHU,False,25,5,49.0,5.0,13.0,3.0,1.0,True,True
39,20,Wolves,WOL,False,38,5,50.0,4.0,11.0,3.0,1.0,True,True
3,1,Arsenal,ARS,False,1,6,51.0,3.0,18.0,2.0,2.0,True,True
7,2,Aston Villa,AVL,False,2,6,55.0,3.0,7.0,0.0,1.0,True,False
