team_id,web_name,Position,fixture_difficulty,opponent_team,player_fixture_id,goals_scored,assists,clean_sheets,goals_conceded,bonus,penalties_saved,saves,penalties_missed,player_form,venue_strength,venue_defence_strength,venue_attack_strength,venue_win_percentage,total_points
1,Jorginho,MID,4.0,16,9_11,0.033884298,-0.12545432,0.056414526,0.22843343,0.37075794,0.15973672,0.13152091,0.02768602,0.11143695014662756,0.8042995839112346,0.8054050121849199,0.84151376146789,75.0,0.9635425619781017
1,Jorginho,MID,2.0,16,9_12,-0.078320615,0.058741204,0.17741399,0.27845055,-0.08338463,-0.0052694366,0.030584505,0.0121499505,0.11143695014662756,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,-0.17199719371274114
1,Kiwior,DEF,2.0,16,10_10,-0.08003463,0.051856346,-0.025212977,0.30943206,0.05700702,0.018634047,-0.028169315,-0.072974555,-0.22287390029325513,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,-0.47339908281962073
1,Kiwior,DEF,4.0,16,10_11,0.2806226,-0.24492425,0.062577985,0.07090713,-0.07221394,-0.3808525,-0.24882762,-0.39324892,-0.22287390029325513,0.8042995839112346,0.8054050121849199,0.84151376146789,75.0,-0.08197544018427527
1,Kiwior,DEF,2.0,16,10_12,-0.08003463,0.051856346,-0.025212977,0.30943206,0.05700702,0.018634047,-0.028169315,-0.072974555,-0.22287390029325513,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,-0.47339908281962073
1,Marquinhos,MID,2.0,16,11_10,0.020858385,-0.0032294844,-0.009242413,0.09243277,-0.023397274,-0.039931983,0.025350733,0.20543571,0.0,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,-0.5485675469972193
1,Marquinhos,MID,4.0,16,11_11,-0.050883435,0.19588642,0.012611154,0.44573668,-0.096479006,0.0014937231,0.32933107,0.2722673,0.0,0.8042995839112346,0.8054050121849199,0.84151376146789,75.0,-0.28769177943468094
1,Marquinhos,MID,2.0,16,11_12,0.020858385,-0.0032294844,-0.009242413,0.09243277,-0.023397274,-0.039931983,0.025350733,0.20543571,0.0,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,-0.5485675469972193
1,Martinelli,MID,2.0,16,12_10,0.10066851,0.25728035,-0.12752873,0.2599496,-0.06091373,-0.1475897,-0.2479949,-0.10590966,1.3284457478005864,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,0.5606119818985462
1,Martinelli,MID,4.0,16,12_11,0.046131216,-0.1413448,0.20970911,0.5714366,0.16942842,0.03329621,0.07685065,0.13675897,1.3284457478005864,0.8042995839112346,0.8054050121849199,0.84151376146789,75.0,0.07872231677174568
1,Martinelli,MID,2.0,16,12_12,0.10066851,0.25728035,-0.12752873,0.2599496,-0.06091373,-0.1475897,-0.2479949,-0.10590966,1.3284457478005864,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,0.5606119818985462
1,Nketiah,FWD,2.0,16,13_10,0.21838637,0.26074815,0.5923489,0.39366716,0.21419911,-0.08185445,0.34643292,-0.006748902,1.7653958944281525,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,1.474214588291943
1,Nketiah,FWD,4.0,16,13_11,0.29014593,-0.13746716,0.4977687,0.16797082,0.063727416,-0.17254005,0.7326844,-0.16856523,1.7653958944281525,0.8042995839112346,0.8054050121849199,0.84151376146789,75.0,0.2863398566842079
1,Nketiah,FWD,2.0,16,13_12,0.21838637,0.26074815,0.5923489,0.39366716,0.21419911,-0.08185445,0.34643292,-0.006748902,1.7653958944281525,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,1.474214588291943
1,Ødegaard,MID,2.0,16,14_10,0.4444012,0.17784779,0.4137819,0.88316405,0.7311498,0.15355042,0.040674422,0.06557563,3.4545454545454546,0.6244209133024488,0.6263283452613316,0.6370572207084468,60.0,4.53708191215992
